Name,Roomsinfo,Beds,Location,DiscountPrice,ActualPrice,Reviews,Host
Mammoth Village Properties by 101 Great Escapes,"Entire apartment • 2 bedrooms • 1 living room • 3 bathrooms • 1 kitchen • 130m²4 beds (2 sofa beds, 2 large doubles)","<span class=""bb58e7a787"">Entire apartment</span>",Mammoth Lakes,"<span aria-hidden=""true"" class=""fcab3ed991 bd73d13072"">KES 110,205</span>",,"<div aria-label=""Scored 8.8 "" class=""b5cd09854e d10a6220b4"">8.8</div>","<div aria-label=""Fabulous"" class=""b5cd09854e f0d4d6a2f5 e46e88563a"">Fabulous<!-- --> </div>"
"Rockaway Oceanview Retreat-Oceanviews,Steps to the beach & Downtown Rockaway, WiFi","Entire holiday home • 2 bedrooms • 1 living room • 2 bathrooms • 1 kitchen • 93m²5 beds (1 extra-large double, 1 sofa bed, 3 large doubles)","<span class=""bb58e7a787"">Entire holiday home</span>",Rockaway Beach,"<span aria-hidden=""true"" class=""fcab3ed991 bd73d13072"">KES 40,728</span>","<span aria-hidden=""true"" class=""a0c113411d e293a04099"">KES 62,658</span>","<div aria-label=""Scored 9.3 "" class=""b5cd09854e d10a6220b4"">9.3</div>","<div aria-label=""Superb"" class=""b5cd09854e f0d4d6a2f5 e46e88563a"">Superb<!-- --> </div>"
Sunrise on deck!,"Entire apartment • 2 bedrooms • 1 living room • 2 bathrooms • 1 kitchen • 93m²3 beds (1 double, 1 sofa bed, 1 large double)","<span class=""bb58e7a787"">Entire apartment</span>",Myrtle Beach,"<span aria-hidden=""true"" class=""fcab3ed991 bd73d13072"">KES 38,572</span>",,"<div aria-label=""Scored 9.2 "" class=""b5cd09854e d10a6220b4"">9.2</div>","<div aria-label=""Superb"" class=""b5cd09854e f0d4d6a2f5 e46e88563a"">Superb<!-- --> </div>"
Kasa University Medical Center Durham,"Entire apartment • 2 bedrooms • 1 living room • 2 bathrooms • 1 kitchen • 104m²4 beds (2 singles, 1 extra-large double, 1 sofa bed)","<span class=""bb58e7a787"">Entire apartment</span>",Durham,"<span aria-hidden=""true"" class=""fcab3ed991 bd73d13072"">KES 57,184</span>",,"<div aria-label=""Scored 7.5 "" class=""b5cd09854e d10a6220b4"">7.5</div>","<div aria-label=""Good"" class=""b5cd09854e f0d4d6a2f5 e46e88563a"">Good<!-- --> </div>"
Elevation Lofts Hotel,"Entire apartment • 2 bedrooms • 1 living room • 2 bathrooms • 1 kitchen • 104m²2 beds (1 extra-large double, 1 large double)","<span class=""bb58e7a787"">Entire apartment</span>","Downtown Asheville, Asheville","<span aria-hidden=""true"" class=""fcab3ed991 bd73d13072"">KES 68,401</span>","<span aria-hidden=""true"" class=""a0c113411d e293a04099"">KES 97,715</span>","<div aria-label=""Scored 9.7 "" class=""b5cd09854e d10a6220b4"">9.7</div>","<div aria-label=""Exceptional"" class=""b5cd09854e f0d4d6a2f5 e46e88563a"">Exceptional<!-- --> </div>"
AMAZING 2BR 2BA NEWLY RENO BEACHFRONT APT W/BEACH VIEW,Entire apartment • 2 bedrooms • 1 living room • 2 bathrooms • 1 kitchen • 93m²3 large double beds,"<span class=""bb58e7a787"">Entire apartment</span>","Hollywood Beach, Hollywood","<span aria-hidden=""true"" class=""fcab3ed991 bd73d13072"">KES 107,952</span>",,"<div aria-label=""Scored 9.1 "" class=""b5cd09854e d10a6220b4"">9.1</div>","<div aria-label=""Superb"" class=""b5cd09854e f0d4d6a2f5 e46e88563a"">Superb<!-- --> </div>"
Luxury 2 Bedroom 2 Bath Suite in the Four Seasons Hotel Miami,"Private suite • 2 bedrooms • 1 living room • 3 bathrooms • 163m²3 beds (2 doubles, 1 extra-large double)","<span class=""bb58e7a787"">Private suite</span>","Brickell, Miami","<span aria-hidden=""true"" class=""fcab3ed991 bd73d13072"">KES 306,125</span>",,"<div aria-label=""Scored 9.0 "" class=""b5cd09854e d10a6220b4"">9.0</div>","<div aria-label=""Superb"" class=""b5cd09854e f0d4d6a2f5 e46e88563a"">Superb<!-- --> </div>"
Country Farmhouse,"Entire apartment • 2 bedrooms • 1 living room • 2 bathrooms • 1 kitchen • 70m²3 beds (1 double, 1 bunk bed, 1 large double)","<span class=""bb58e7a787"">Entire apartment</span>",East Montpelier,"<span aria-hidden=""true"" class=""fcab3ed991 bd73d13072"">KES 50,272</span>",,"<div aria-label=""Scored 9.5 "" class=""b5cd09854e d10a6220b4"">9.5</div>","<div aria-label=""Exceptional"" class=""b5cd09854e f0d4d6a2f5 e46e88563a"">Exceptional<!-- --> </div>"
Hidden Gem! Turtle Bay Hideaway,"Entire apartment • 2 bedrooms • 1 bathroom5 beds (4 bunk beds, 1 large double)","<span class=""bb58e7a787"">Entire apartment</span>",Kahuku,"<span aria-hidden=""true"" class=""fcab3ed991 bd73d13072"">KES 101,883</span>",,"<div aria-label=""Scored 10 "" class=""b5cd09854e d10a6220b4"">10</div>","<div aria-label=""Exceptional"" class=""b5cd09854e f0d4d6a2f5 e46e88563a"">Exceptional<!-- --> </div>"
Child Friendly Ski Condo with Sauna at Smugglers Notch,"Entire apartment • 2 bedrooms • 1 living room • 2 bathrooms • 1 kitchen • 111m²6 beds (3 singles, 1 extra-large double, 2 sofa beds)","<span class=""bb58e7a787"">Entire apartment</span>",Cambridge,"<span aria-hidden=""true"" class=""fcab3ed991 bd73d13072"">KES 39,453</span>",,"<div aria-label=""Scored 9.5 "" class=""b5cd09854e d10a6220b4"">9.5</div>","<div aria-label=""Exceptional"" class=""b5cd09854e f0d4d6a2f5 e46e88563a"">Exceptional<!-- --> </div>"
Lake Hartwell Rental w/Dock,"Entire holiday home • 2 bedrooms • 1 living room • 2 bathrooms • 1 kitchen • 111m²3 beds (1 bunk bed, 1 sofa bed, 1 large double)","<span class=""bb58e7a787"">Entire holiday home</span>",Fair Play,"<span aria-hidden=""true"" class=""fcab3ed991 bd73d13072"">KES 36,857</span>","<span aria-hidden=""true"" class=""a0c113411d e293a04099"">KES 52,653</span>","<div aria-label=""Scored 9.7 "" class=""b5cd09854e d10a6220b4"">9.7</div>","<div aria-label=""Exceptional"" class=""b5cd09854e f0d4d6a2f5 e46e88563a"">Exceptional<!-- --> </div>"
Zion Wildflower,2 entire bungalows • 2 bedrooms • 2 living rooms • 2 bathrooms2 extra-large double beds,"<span class=""bb58e7a787"">2 entire bungalows</span>",Virgin,"<span aria-hidden=""true"" class=""fcab3ed991 bd73d13072"">KES 102,858</span>",,"<div aria-label=""Scored 9.2 "" class=""b5cd09854e d10a6220b4"">9.2</div>","<div aria-label=""Superb"" class=""b5cd09854e f0d4d6a2f5 e46e88563a"">Superb<!-- --> </div>"
Fairway Forest,"2 private suites • 2 bedrooms • 2 living rooms • 2 bathrooms4 beds (2 extra-large doubles, 2 sofa beds)","<span class=""bb58e7a787"">2 private suites</span>",Sapphire,"<span aria-hidden=""true"" class=""fcab3ed991 bd73d13072"">KES 101,962</span>","<span aria-hidden=""true"" class=""a0c113411d e293a04099"">KES 113,291</span>","<div aria-label=""Scored 8.4 "" class=""b5cd09854e d10a6220b4"">8.4</div>","<div aria-label=""Very good"" class=""b5cd09854e f0d4d6a2f5 e46e88563a"">Very good<!-- --> </div>"
Mountainside Villas at Massanutten by TripForth,"Entire holiday home • 2 bedrooms • 1 living room • 2 bathrooms • 1 kitchen • 74m²5 beds (2 singles, 1 extra-large double, 1 sofa bed, 1 large double)","<span class=""bb58e7a787"">Entire holiday home</span>",McGaheysville,"<span aria-hidden=""true"" class=""fcab3ed991 bd73d13072"">KES 31,592</span>",,"<div aria-label=""Scored 8.6 "" class=""b5cd09854e d10a6220b4"">8.6</div>","<div aria-label=""Fabulous"" class=""b5cd09854e f0d4d6a2f5 e46e88563a"">Fabulous<!-- --> </div>"
Aqua Haven - Second Street from Beach Home,"Entire holiday home • 2 bedrooms • 2 bathrooms • 1 kitchen • 21m²2 beds (1 extra-large double, 1 large double)","<span class=""bb58e7a787"">Entire holiday home</span>",Holden Beach,"<span aria-hidden=""true"" class=""fcab3ed991 bd73d13072"">KES 38,572</span>",,"<div aria-label=""Scored 9.5 "" class=""b5cd09854e d10a6220b4"">9.5</div>","<div aria-label=""Exceptional"" class=""b5cd09854e f0d4d6a2f5 e46e88563a"">Exceptional<!-- --> </div>"
"Yovan Longevity & Health Resorts, Catskills",2 private suites • 2 bedrooms • 2 living rooms • 2 bathrooms2 extra-large double beds,"<span class=""bb58e7a787"">2 private suites</span>",Monticello,"<span aria-hidden=""true"" class=""fcab3ed991 bd73d13072"">KES 153,430</span>","<span aria-hidden=""true"" class=""a0c113411d e293a04099"">KES 219,185</span>","<div aria-label=""Scored 7.8 "" class=""b5cd09854e d10a6220b4"">7.8</div>","<div aria-label=""Good"" class=""b5cd09854e f0d4d6a2f5 e46e88563a"">Good<!-- --> </div>"
DoubleTree by Hilton Park City - The Yarrow,2 private suites2 extra-large double beds,"<span class=""bb58e7a787"">2 private suites</span>",Park City,"<span aria-hidden=""true"" class=""fcab3ed991 bd73d13072"">KES 138,124</span>",,"<div aria-label=""Scored 7.6 "" class=""b5cd09854e d10a6220b4"">7.6</div>","<div aria-label=""Good"" class=""b5cd09854e f0d4d6a2f5 e46e88563a"">Good<!-- --> </div>"
Hilton Daytona Beach Resort,"2 private suites • 2 bedrooms • 2 living rooms • 2 bathrooms4 beds (2 extra-large doubles, 2 sofa beds)","<span class=""bb58e7a787"">2 private suites</span>",Daytona Beach,"<span aria-hidden=""true"" class=""fcab3ed991 bd73d13072"">KES 303,676</span>",,"<div aria-label=""Scored 7.1 "" class=""b5cd09854e d10a6220b4"">7.1</div>","<div aria-label=""Good"" class=""b5cd09854e f0d4d6a2f5 e46e88563a"">Good<!-- --> </div>"
Eagle Point Resort,"Entire apartment • 2 bedrooms • 1 living room • 2 bathrooms • 1 kitchen • 80m²4 beds (2 singles, 1 extra-large double, 1 sofa bed)","<span class=""bb58e7a787"">Entire apartment</span>","Cascade Village, Vail","<span aria-hidden=""true"" class=""fcab3ed991 bd73d13072"">KES 58,188</span>","<span aria-hidden=""true"" class=""a0c113411d e293a04099"">KES 64,654</span>","<div aria-label=""Scored 8.0 "" class=""b5cd09854e d10a6220b4"">8.0</div>","<div aria-label=""Very good"" class=""b5cd09854e f0d4d6a2f5 e46e88563a"">Very good<!-- --> </div>"
Hilton Pensacola Beach,"2 private suites • 2 bedrooms • 2 living rooms • 2 bathrooms4 beds (2 sofa beds, 2 large doubles)","<span class=""bb58e7a787"">2 private suites</span>",Pensacola Beach,"<span aria-hidden=""true"" class=""fcab3ed991 bd73d13072"">KES 117,062</span>",,"<div aria-label=""Scored 7.9 "" class=""b5cd09854e d10a6220b4"">7.9</div>","<div aria-label=""Good"" class=""b5cd09854e f0d4d6a2f5 e46e88563a"">Good<!-- --> </div>"
The Club at New Seabury,"Entire apartment • 2 bedrooms • 1 living room • 2 bathrooms • 1 kitchen • 111m²4 beds (2 singles, 1 extra-large double, 1 sofa bed)","<span class=""bb58e7a787"">Entire apartment</span>",Mashpee,"<span aria-hidden=""true"" class=""fcab3ed991 bd73d13072"">KES 40,306</span>","<span aria-hidden=""true"" class=""a0c113411d e293a04099"">KES 51,674</span>","<div aria-label=""Scored 8.8 "" class=""b5cd09854e d10a6220b4"">8.8</div>","<div aria-label=""Fabulous"" class=""b5cd09854e f0d4d6a2f5 e46e88563a"">Fabulous<!-- --> </div>"
Teton Valley Resort,"2 private suites • 2 bedrooms • 2 living rooms • 2 bathrooms4 beds (2 sofa beds, 2 large doubles)","<span class=""bb58e7a787"">2 private suites</span>",Victor,"<span aria-hidden=""true"" class=""fcab3ed991 bd73d13072"">KES 92,327</span>",,"<div aria-label=""Scored 8.9 "" class=""b5cd09854e d10a6220b4"">8.9</div>","<div aria-label=""Fabulous"" class=""b5cd09854e f0d4d6a2f5 e46e88563a"">Fabulous<!-- --> </div>"
"The Lodge at Gulf State Park, A Hilton Hotel","2 private suites4 beds (2 extra-large doubles, 2 bunk beds)","<span class=""bb58e7a787"">2 private suites</span>",Gulf Shores,"<span aria-hidden=""true"" class=""fcab3ed991 bd73d13072"">KES 259,104</span>",,"<div aria-label=""Scored 8.8 "" class=""b5cd09854e d10a6220b4"">8.8</div>","<div aria-label=""Fabulous"" class=""b5cd09854e f0d4d6a2f5 e46e88563a"">Fabulous<!-- --> </div>"
Hilton Marco Island Beach Resort and Spa,2 private suites2 extra-large double beds,"<span class=""bb58e7a787"">2 private suites</span>",Marco Island,"<span aria-hidden=""true"" class=""fcab3ed991 bd73d13072"">KES 249,308</span>",,"<div aria-label=""Scored 8.1 "" class=""b5cd09854e d10a6220b4"">8.1</div>","<div aria-label=""Very good"" class=""b5cd09854e f0d4d6a2f5 e46e88563a"">Very good<!-- --> </div>"
DoubleTree Suites by Hilton Orlando at Disney Springs,"2 private suites4 beds (2 sofa beds, 2 large doubles)","<span class=""bb58e7a787"">2 private suites</span>","Lake Buena Vista, Orlando","<span aria-hidden=""true"" class=""fcab3ed991 bd73d13072"">KES 151,348</span>",,"<div aria-label=""Scored 8.1 "" class=""b5cd09854e d10a6220b4"">8.1</div>","<div aria-label=""Very good"" class=""b5cd09854e f0d4d6a2f5 e46e88563a"">Very good<!-- --> </div>"
Sunset Vistas Two Bedroom Beachfront Suites,"Private suite • 2 bedrooms • 1 living room • 2 bathrooms • 81m²3 beds (1 extra-large double, 1 sofa bed, 1 large double)","<span class=""bb58e7a787"">Private suite</span>","Treasure Island , St Pete Beach","<span aria-hidden=""true"" class=""fcab3ed991 bd73d13072"">KES 59,756</span>",,"<div aria-label=""Scored 8.4 "" class=""b5cd09854e d10a6220b4"">8.4</div>","<div aria-label=""Very good"" class=""b5cd09854e f0d4d6a2f5 e46e88563a"">Very good<!-- --> </div>"
Hilton Palm Springs,2 private suites4 large double beds,"<span class=""bb58e7a787"">2 private suites</span>","Downtown Palm Springs, Palm Springs","<span aria-hidden=""true"" class=""fcab3ed991 bd73d13072"">KES 131,511</span>",,"<div aria-label=""Scored 7.9 "" class=""b5cd09854e d10a6220b4"">7.9</div>","<div aria-label=""Good"" class=""b5cd09854e f0d4d6a2f5 e46e88563a"">Good<!-- --> </div>"
Silver King,"Entire apartment • 2 bedrooms • 1 living room • 2 bathrooms • 1 kitchen • 102m²3 beds (1 sofa bed, 2 large doubles)","<span class=""bb58e7a787"">Entire apartment</span>",Park City,"<span aria-hidden=""true"" class=""fcab3ed991 bd73d13072"">KES 75,674</span>",,"<div aria-label=""Scored 8.3 "" class=""b5cd09854e d10a6220b4"">8.3</div>","<div aria-label=""Very good"" class=""b5cd09854e f0d4d6a2f5 e46e88563a"">Very good<!-- --> </div>"
Myrtlewood Condos,"Entire villa • 2 bedrooms • 1 living room • 2 bathrooms • 1 kitchen • 102m²3 beds (2 singles, 1 extra-large double)","<span class=""bb58e7a787"">Entire villa</span>",Myrtle Beach,"<span aria-hidden=""true"" class=""fcab3ed991 bd73d13072"">KES 32,327</span>",,"<div aria-label=""Scored 7.6 "" class=""b5cd09854e d10a6220b4"">7.6</div>","<div aria-label=""Good"" class=""b5cd09854e f0d4d6a2f5 e46e88563a"">Good<!-- --> </div>"
Condos at Canyons Resort by White Pines,"Private suite • 2 bedrooms • 2 living rooms • 2 bathrooms • 105m²5 beds (2 extra-large doubles, 3 sofa beds)","<span class=""bb58e7a787"">Private suite</span>","Canyons, Park City","<span aria-hidden=""true"" class=""fcab3ed991 bd73d13072"">KES 49,960</span>",,"<div aria-label=""Scored 8.5 "" class=""b5cd09854e d10a6220b4"">8.5</div>","<div aria-label=""Very good"" class=""b5cd09854e f0d4d6a2f5 e46e88563a"">Very good<!-- --> </div>"
San Luis Bay Inn,"2 entire apartments • 2 bedrooms • 2 bathrooms • 2 kitchens4 beds (2 extra-large doubles, 2 sofa beds)","<span class=""bb58e7a787"">2 entire apartments</span>",Avila Beach,"<span aria-hidden=""true"" class=""fcab3ed991 bd73d13072"">KES 72,978</span>","<span aria-hidden=""true"" class=""a0c113411d e293a04099"">KES 85,857</span>","<div aria-label=""Scored 8.5 "" class=""b5cd09854e d10a6220b4"">8.5</div>","<div aria-label=""Very good"" class=""b5cd09854e f0d4d6a2f5 e46e88563a"">Very good<!-- --> </div>"
FRONTDESK The Wayland Apts Downtown St Pete,Entire apartment • 2 bedrooms • 1 living room • 2 bathrooms • 1 kitchen • 78m²2 large double beds,"<span class=""bb58e7a787"">Entire apartment</span>","Downtown Saint Petersburg, St Petersburg","<span aria-hidden=""true"" class=""fcab3ed991 bd73d13072"">KES 43,715</span>",,"<div aria-label=""Scored 7.8 "" class=""b5cd09854e d10a6220b4"">7.8</div>","<div aria-label=""Good"" class=""b5cd09854e f0d4d6a2f5 e46e88563a"">Good<!-- --> </div>"
La Isla South Padre Residences,"Entire apartment • 2 bedrooms • 1 living room • 1 bathroom • 1 kitchen • 107m²3 beds (2 doubles, 1 extra-large double)","<span class=""bb58e7a787"">Entire apartment</span>",South Padre Island,"<span aria-hidden=""true"" class=""fcab3ed991 bd73d13072"">KES 34,286</span>",,"<div aria-label=""Scored 8.5 "" class=""b5cd09854e d10a6220b4"">8.5</div>","<div aria-label=""Very good"" class=""b5cd09854e f0d4d6a2f5 e46e88563a"">Very good<!-- --> </div>"
Aston At Poipu Kai,"Private suite • 2 bedrooms • 1 living room • 2 bathrooms • 103m²4 beds (2 singles, 1 extra-large double, 1 sofa bed)","<span class=""bb58e7a787"">Private suite</span>","Poipu, Koloa","<span aria-hidden=""true"" class=""fcab3ed991 bd73d13072"">KES 64,103</span>","<span aria-hidden=""true"" class=""a0c113411d e293a04099"">KES 106,838</span>","<div aria-label=""Scored 8.2 "" class=""b5cd09854e d10a6220b4"">8.2</div>","<div aria-label=""Very good"" class=""b5cd09854e f0d4d6a2f5 e46e88563a"">Very good<!-- --> </div>"
Hilton Suites Ocean City Oceanfront,"2 private suites • 2 bedrooms • 2 living rooms • 2 bathrooms6 beds (4 doubles, 2 sofa beds)","<span class=""bb58e7a787"">2 private suites</span>","Midtown, Ocean City","<span aria-hidden=""true"" class=""fcab3ed991 bd73d13072"">KES 82,776</span>",,"<div aria-label=""Scored 8.8 "" class=""b5cd09854e d10a6220b4"">8.8</div>","<div aria-label=""Fabulous"" class=""b5cd09854e f0d4d6a2f5 e46e88563a"">Fabulous<!-- --> </div>"
"Our Home, Your Home","Entire holiday home • 2 bedrooms • 1 living room • 1 bathroom • 1 kitchen3 beds (2 doubles, 1 sofa bed)","<span class=""bb58e7a787"">Entire holiday home</span>",Black Mountain,"<span aria-hidden=""true"" class=""fcab3ed991 bd73d13072"">KES 26,427</span>",,"<div aria-label=""Scored 9.5 "" class=""b5cd09854e d10a6220b4"">9.5</div>","<div aria-label=""Exceptional"" class=""b5cd09854e f0d4d6a2f5 e46e88563a"">Exceptional<!-- --> </div>"
Mountain Seclusion,"Entire chalet • 2 bedrooms • 2 living rooms • 1 kitchen • 204m²3 beds (1 extra-large double, 1 sofa bed, 1 large double)","<span class=""bb58e7a787"">Entire chalet</span>",Sevierville,"<span aria-hidden=""true"" class=""fcab3ed991 bd73d13072"">KES 39,184</span>",,"<div aria-label=""Scored 9.2 "" class=""b5cd09854e d10a6220b4"">9.2</div>","<div aria-label=""Superb"" class=""b5cd09854e f0d4d6a2f5 e46e88563a"">Superb<!-- --> </div>"
DoubleTree Resort by Hilton Myrtle Beach Oceanfront,2 private suites2 extra-large double beds,"<span class=""bb58e7a787"">2 private suites</span>","The Market Common, Myrtle Beach","<span aria-hidden=""true"" class=""fcab3ed991 bd73d13072"">KES 113,144</span>",,"<div aria-label=""Scored 7.2 "" class=""b5cd09854e d10a6220b4"">7.2</div>","<div aria-label=""Good"" class=""b5cd09854e f0d4d6a2f5 e46e88563a"">Good<!-- --> </div>"
Paradise at Canyon Lake,"Entire holiday home • 2 bedrooms • 1 living room • 1 bathroom • 1 kitchen • 111m²3 beds (1 sofa bed, 2 large doubles)","<span class=""bb58e7a787"">Entire holiday home</span>",Canyon Lake,"<span aria-hidden=""true"" class=""fcab3ed991 bd73d13072"">KES 31,347</span>",,"<div aria-label=""Scored 9.2 "" class=""b5cd09854e d10a6220b4"">9.2</div>","<div aria-label=""Superb"" class=""b5cd09854e f0d4d6a2f5 e46e88563a"">Superb<!-- --> </div>"
"Cozy Cabin beside Briar Creek, Fire pit, wifi",Entire chalet • 2 bedrooms • 1 bathroom • 1 kitchen • 54m²2 large double beds,"<span class=""bb58e7a787"">Entire chalet</span>",Ellijay,"<span aria-hidden=""true"" class=""fcab3ed991 bd73d13072"">KES 33,257</span>","<span aria-hidden=""true"" class=""a0c113411d e293a04099"">KES 47,511</span>","<div aria-label=""Scored 8.9 "" class=""b5cd09854e d10a6220b4"">8.9</div>","<div aria-label=""Fabulous"" class=""b5cd09854e f0d4d6a2f5 e46e88563a"">Fabulous<!-- --> </div>"
Back INN Time B&B,Entire studio • 1 bathroom • 18m²1 large double bed,"<span class=""bb58e7a787"">Entire studio</span>",Kilmarnock,,,"<div aria-label=""Scored 9.2 "" class=""b5cd09854e d10a6220b4"">9.2</div>","<div aria-label=""Superb"" class=""b5cd09854e f0d4d6a2f5 e46e88563a"">Superb<!-- --> </div>"
Addy's Villas,"Entire villa • 2 bedrooms • 1 living room • 1 bathroom • 1 kitchen • 72m²4 beds (2 singles, 1 sofa bed, 1 large double)","<span class=""bb58e7a787"">Entire villa</span>",Venice,,,"<div aria-label=""Scored 9.6 "" class=""b5cd09854e d10a6220b4"">9.6</div>","<div aria-label=""Exceptional"" class=""b5cd09854e f0d4d6a2f5 e46e88563a"">Exceptional<!-- --> </div>"
Diamond Adventure Slope Side with Foosball and Arcade at Wintergreen Resort,"Entire apartment • 2 bedrooms • 1 living room • 2 bathrooms • 1 kitchen • 106m²4 beds (1 extra-large double, 2 bunk beds, 1 large double)","<span class=""bb58e7a787"">Entire apartment</span>",Wintergreen,,,"<div aria-label=""Scored 10 "" class=""b5cd09854e d10a6220b4"">10</div>","<div aria-label=""Exceptional"" class=""b5cd09854e f0d4d6a2f5 e46e88563a"">Exceptional<!-- --> </div>"
