Name,Listing_type,Location,Rating,Host,Beds,DiscountedPrice,OriginalPrice,Latitude,Longitude,City,State,Country
Broome Park Hotel,2 entire chalet,Canterbury,7.7,Good,2,0,0,51.2800275,1.0802533,Canterbury,England,United Kingdom
The Vermont ApartHotel,Entire apartment,"Newcastle City Centre, Newcastle upon Tyne",8.4,Very good,2,0,0,54.9772205,-1.6612259989810887,Newcastle upon Tyne,England,United Kingdom
Hazel's House,Entire holiday home,Keighley,9.2,Superb,1,0,0,53.8684021,-1.9020456,Bradford,England,United Kingdom
KSpace @ Waterloo Court,Entire apartment,"Leeds City Centre, Leeds",8.8,Fabulous,2,0,0,53.809128400000006,-1.5302367852524053,Leeds,England,United Kingdom
The Deeside,Entire holiday home,Buckley,7.5,Good,6,0,0,40.5969794,-88.0380959,,Illinois,United States
Mrs Blodget’s,Entire apartment,"Liverpool City Centre, Liverpool",8.4,Very good,3,0,0,53.4773112,-2.2581189,Manchester,England,United Kingdom
Host & Stay - The Library,Entire holiday home,Shilbottle,8.0,Very good,2,0,0,55.3706845,-1.6896941,,England,United Kingdom
Apartment/Flat 3,Entire apartment,Menai Bridge,8.9,Fabulous,3,0,0,53.2259347,-4.1631064,,Cymru / Wales,United Kingdom
Tresarran Cottages Cornwall,Entire holiday home,Liskeard,9.2,Superb,2,0,0,50.4546303,-4.4644227,,England,United Kingdom
Meadow View Lodge,Entire holiday home,Begelly,9.1,Superb,2,0,0,51.7320775,-4.7250581,,Cymru / Wales,United Kingdom
Priest Bridge Cottage,Entire bungalow,Bryansford,8.5,Very good,5,0,0,54.2299237,-5.9356005,,Tuaisceart Éireann / Northern Ireland,United Kingdom
Host & Stay - Sandside Beach House,Entire holiday home,Saltburn-by-the-Sea,8.3,Very good,4,0,0,54.5846769,-0.9740921,,England,United Kingdom
Host & Stay - Pearl Apartment,Entire apartment,Saltburn-by-the-Sea,7.3,Good,3,0,0,54.5846769,-0.9740921,,England,United Kingdom
Whispers,Entire apartment,Winchelsea,8.8,Fabulous,4,0,0,50.9243896,0.7086362,Rother,England,United Kingdom
