Name,Roomsinfo,Beds,Location,DiscountPrice,ActualPrice,Reviews,Host
Cosy two bedroom apartment,Entire apartment • 2 bedrooms • 1 living room • 1 bathroom • 1 kitchen • 70m²2 double beds,"<span class=""bb58e7a787"">Entire apartment</span>",Bishop Auckland,"<span aria-hidden=""true"" class=""fcab3ed991 bd73d13072"">KES 18,043</span>","<span aria-hidden=""true"" class=""a0c113411d e293a04099"">KES 21,227</span>","<div aria-label=""Scored 8.7 "" class=""b5cd09854e d10a6220b4"">8.7</div>","<div aria-label=""Fabulous"" class=""b5cd09854e f0d4d6a2f5 e46e88563a"">Fabulous<!-- --> </div>"
Host & Stay - Diamond Three,"Entire apartment • 2 bedrooms • 1 living room • 1 bathroom • 1 kitchen • 96m²2 beds (1 double, 1 large double)","<span class=""bb58e7a787"">Entire apartment</span>",Saltburn-by-the-Sea,"<span aria-hidden=""true"" class=""fcab3ed991 bd73d13072"">KES 28,008</span>",,"<div aria-label=""Scored 8.0 "" class=""b5cd09854e d10a6220b4"">8.0</div>","<div aria-label=""Very good"" class=""b5cd09854e f0d4d6a2f5 e46e88563a"">Very good<!-- --> </div>"
Belgrade Plaza Serviced Apartments,Entire apartment • 2 bedrooms • 1 living room • 1 bathroom • 1 kitchen • 42m²2 double beds,"<span class=""bb58e7a787"">Entire apartment</span>","Coventry City Centre, Coventry","<span aria-hidden=""true"" class=""fcab3ed991 bd73d13072"">KES 26,272</span>","<span aria-hidden=""true"" class=""a0c113411d e293a04099"">KES 37,531</span>","<div aria-label=""Scored 8.2 "" class=""b5cd09854e d10a6220b4"">8.2</div>","<div aria-label=""Very good"" class=""b5cd09854e f0d4d6a2f5 e46e88563a"">Very good<!-- --> </div>"
Superb City Center 1 or 2 BR Apts King Bed - Wise Stays,Entire apartment • 2 bedrooms • 1 living room • 2 bathrooms • 1 kitchen • 66m²2 large double beds,"<span class=""bb58e7a787"">Entire apartment</span>","Southampton City Centre, Southampton","<span aria-hidden=""true"" class=""fcab3ed991 bd73d13072"">KES 36,116</span>","<span aria-hidden=""true"" class=""a0c113411d e293a04099"">KES 51,594</span>","<div aria-label=""Scored 9.0 "" class=""b5cd09854e d10a6220b4"">9.0</div>","<div aria-label=""Superb"" class=""b5cd09854e f0d4d6a2f5 e46e88563a"">Superb<!-- --> </div>"
The Westgate,"Entire holiday home • 2 bedrooms • 2 living rooms • 2 bathrooms • 1 kitchen • 100m²3 beds (2 singles, 1 large double)","<span class=""bb58e7a787"">Entire holiday home</span>",Charmouth,"<span aria-hidden=""true"" class=""fcab3ed991 bd73d13072"">KES 54,726</span>",,"<div aria-label=""Scored 9.0 "" class=""b5cd09854e d10a6220b4"">9.0</div>","<div aria-label=""Superb"" class=""b5cd09854e f0d4d6a2f5 e46e88563a"">Superb<!-- --> </div>"
TULIP LODGE-Green & Peace with hot tub,"Entire holiday home • 2 bedrooms • 1 living room • 2 bathrooms • 1 kitchen • 75m²4 beds (2 singles, 1 double, 1 sofa bed)","<span class=""bb58e7a787"">Entire holiday home</span>",Little Habton,"<span aria-hidden=""true"" class=""fcab3ed991 bd73d13072"">KES 56,960</span>","<span aria-hidden=""true"" class=""a0c113411d e293a04099"">KES 61,913</span>","<div aria-label=""Scored 8.6 "" class=""b5cd09854e d10a6220b4"">8.6</div>","<div aria-label=""Fabulous"" class=""b5cd09854e f0d4d6a2f5 e46e88563a"">Fabulous<!-- --> </div>"
The Elms - Close to City Centre,"Entire apartment • 2 bedrooms • 1 living room • 1 bathroom • 1 kitchen • 65m²4 beds (3 doubles, 1 sofa bed)","<span class=""bb58e7a787"">Entire apartment</span>","Cardiff Outskirts, Cardiff","<span aria-hidden=""true"" class=""fcab3ed991 bd73d13072"">KES 53,179</span>",,"<div aria-label=""Scored 8.6 "" class=""b5cd09854e d10a6220b4"">8.6</div>","<div aria-label=""Fabulous"" class=""b5cd09854e f0d4d6a2f5 e46e88563a"">Fabulous<!-- --> </div>"
"THE OLD RECTORY ROSE COTTAGE in Jacobstow 10 mins to Widemouth bay and Crackington Haven,15 mins Bude,20 mins tintagel, 27 mins Port Issac","Entire holiday home • 2 bedrooms • 1 living room • 1 bathroom • 1 kitchen • 128m²3 beds (2 singles, 1 large double)","<span class=""bb58e7a787"">Entire holiday home</span>",Jacobstow,"<span aria-hidden=""true"" class=""fcab3ed991 bd73d13072"">KES 23,598</span>","<span aria-hidden=""true"" class=""a0c113411d e293a04099"">KES 25,650</span>","<div aria-label=""Scored 8.8 "" class=""b5cd09854e d10a6220b4"">8.8</div>","<div aria-label=""Fabulous"" class=""b5cd09854e f0d4d6a2f5 e46e88563a"">Fabulous<!-- --> </div>"
Just Launched! Modern 2-Bed Apartment in Coventry,"Entire apartment • 2 bedrooms • 1 living room • 2 bathrooms • 1 kitchen • 12m²4 beds (2 extra-large doubles, 2 sofa beds)","<span class=""bb58e7a787"">Entire apartment</span>",Spon End,"<span aria-hidden=""true"" class=""fcab3ed991 bd73d13072"">KES 38,516</span>","<span aria-hidden=""true"" class=""a0c113411d e293a04099"">KES 41,865</span>","<div aria-label=""Scored 8.7 "" class=""b5cd09854e d10a6220b4"">8.7</div>","<div aria-label=""Fabulous"" class=""b5cd09854e f0d4d6a2f5 e46e88563a"">Fabulous<!-- --> </div>"
Heritage House Apartments - Blackpool Resort Collection,"Entire apartment • 2 bedrooms • 1 living room • 1 bathroom • 1 kitchen • 75m²5 beds (2 singles, 1 double, 2 sofa beds)","<span class=""bb58e7a787"">Entire apartment</span>","Blackpool Centre, Blackpool","<span aria-hidden=""true"" class=""fcab3ed991 bd73d13072"">KES 48,646</span>",,"<div aria-label=""Scored 8.9 "" class=""b5cd09854e d10a6220b4"">8.9</div>","<div aria-label=""Fabulous"" class=""b5cd09854e f0d4d6a2f5 e46e88563a"">Fabulous<!-- --> </div>"
"Kings Court Modern Aparthotel, Town Centre - Blackpool Resort Collection","Entire apartment • 2 bedrooms • 1 living room • 1 bathroom • 1 kitchen • 70m²4 beds (2 singles, 1 double, 1 sofa bed)","<span class=""bb58e7a787"">Entire apartment</span>","Blackpool Centre, Blackpool","<span aria-hidden=""true"" class=""fcab3ed991 bd73d13072"">KES 44,076</span>",,"<div aria-label=""Scored 8.9 "" class=""b5cd09854e d10a6220b4"">8.9</div>","<div aria-label=""Fabulous"" class=""b5cd09854e f0d4d6a2f5 e46e88563a"">Fabulous<!-- --> </div>"
SideMersey Livings - 2 Bedroom Central Apartment with Parking,"Entire apartment • 2 bedrooms • 1 living room • 2 bathrooms • 1 kitchen • 65m²4 beds (1 single, 2 doubles, 1 sofa bed)","<span class=""bb58e7a787"">Entire apartment</span>","Liverpool City Centre, Liverpool","<span aria-hidden=""true"" class=""fcab3ed991 bd73d13072"">KES 65,818</span>",,"<div aria-label=""Scored 9.3 "" class=""b5cd09854e d10a6220b4"">9.3</div>","<div aria-label=""Superb"" class=""b5cd09854e f0d4d6a2f5 e46e88563a"">Superb<!-- --> </div>"
Bayard Plaza Penthouse Apartments,"Entire apartment • 2 bedrooms • 1 living room • 2 bathrooms • 1 kitchen • 120m²3 beds (2 doubles, 1 sofa bed)","<span class=""bb58e7a787"">Entire apartment</span>",Peterborough,"<span aria-hidden=""true"" class=""fcab3ed991 bd73d13072"">KES 41,872</span>","<span aria-hidden=""true"" class=""a0c113411d e293a04099"">KES 47,909</span>","<div aria-label=""Scored 7.8 "" class=""b5cd09854e d10a6220b4"">7.8</div>","<div aria-label=""Good"" class=""b5cd09854e f0d4d6a2f5 e46e88563a"">Good<!-- --> </div>"
DARTMOUTH TOWN CENTER and PRIVATE PARKING - TWO SUPER STYLISH DUPLEX APARTMENTS - With Connecting Door For Larger Groups!!!,"Entire apartment • 2 bedrooms • 1 living room • 1 bathroom • 1 kitchen • 80m²4 beds (2 singles, 1 sofa bed, 1 large double)","<span class=""bb58e7a787"">Entire apartment</span>",Dartmouth,"<span aria-hidden=""true"" class=""fcab3ed991 bd73d13072"">KES 39,668</span>","<span aria-hidden=""true"" class=""a0c113411d e293a04099"">KES 47,909</span>","<div aria-label=""Scored 8.8 "" class=""b5cd09854e d10a6220b4"">8.8</div>","<div aria-label=""Fabulous"" class=""b5cd09854e f0d4d6a2f5 e46e88563a"">Fabulous<!-- --> </div>"
Fabrik: Winter Gardens Service Apartments 2,"Entire apartment • 2 bedrooms • 1 living room • 1 bathroom • 1 kitchen • 75m²4 beds (2 doubles, 2 sofa beds)","<span class=""bb58e7a787"">Entire apartment</span>","North Shore, Blackpool","<span aria-hidden=""true"" class=""fcab3ed991 bd73d13072"">KES 21,891</span>",,"<div aria-label=""Scored 7.7 "" class=""b5cd09854e d10a6220b4"">7.7</div>","<div aria-label=""Good"" class=""b5cd09854e f0d4d6a2f5 e46e88563a"">Good<!-- --> </div>"
The Bewdley Bolthole - Your Hideaway,"Entire bungalow • 2 bedrooms • 1 bathroom • 1 kitchen • 52m²4 beds (3 singles, 1 extra-large double)","<span class=""bb58e7a787"">Entire bungalow</span>",Bewdley,,,"<div aria-label=""Scored 8.6 "" class=""b5cd09854e d10a6220b4"">8.6</div>","<div aria-label=""Fabulous"" class=""b5cd09854e f0d4d6a2f5 e46e88563a"">Fabulous<!-- --> </div>"
Troedyrhiw Holiday Cottages,"Entire holiday home • 2 bedrooms • 1 living room • 1 bathroom • 1 kitchen • 39m²2 beds (1 single, 1 double)","<span class=""bb58e7a787"">Entire holiday home</span>",Cardigan,,,"<div aria-label=""Scored 9.3 "" class=""b5cd09854e d10a6220b4"">9.3</div>","<div aria-label=""Superb"" class=""b5cd09854e f0d4d6a2f5 e46e88563a"">Superb<!-- --> </div>"
"North Face Apartment , Fort William","Entire apartment • 2 bedrooms • 1 living room • 1 bathroom • 1 kitchen • 42m²6 beds (3 singles, 2 sofa beds, 1 large double)","<span class=""bb58e7a787"">Entire apartment</span>",Torlundy,,,"<div aria-label=""Scored 8.5 "" class=""b5cd09854e d10a6220b4"">8.5</div>","<div aria-label=""Very good"" class=""b5cd09854e f0d4d6a2f5 e46e88563a"">Very good<!-- --> </div>"
The Old Vicarage,"Entire holiday home • 2 bedrooms • 2 living rooms • 1 bathroom • 1 kitchen • 115m²3 beds (2 singles, 1 extra-large double)","<span class=""bb58e7a787"">Entire holiday home</span>",Berwick-Upon-Tweed,,,"<div aria-label=""Scored 9.5 "" class=""b5cd09854e d10a6220b4"">9.5</div>","<div aria-label=""Exceptional"" class=""b5cd09854e f0d4d6a2f5 e46e88563a"">Exceptional<!-- --> </div>"
Olympic Village Vela - Portland,"Entire holiday home • 2 bedrooms • 1 living room • 2 bathrooms • 1 kitchen • 82m²4 beds (2 singles, 1 extra-large double, 1 sofa bed)","<span class=""bb58e7a787"">Entire holiday home</span>",Portland,,,"<div aria-label=""Scored 8.6 "" class=""b5cd09854e d10a6220b4"">8.6</div>","<div aria-label=""Fabulous"" class=""b5cd09854e f0d4d6a2f5 e46e88563a"">Fabulous<!-- --> </div>"
Calm Waters,"Entire apartment • 2 bedrooms • 1 living room • 1 bathroom • 1 kitchen • 20m²4 beds (2 singles, 1 double, 1 sofa bed)","<span class=""bb58e7a787"">Entire apartment</span>",Kent,,,"<div aria-label=""Scored 8.0 "" class=""b5cd09854e d10a6220b4"">8.0</div>","<div aria-label=""Very good"" class=""b5cd09854e f0d4d6a2f5 e46e88563a"">Very good<!-- --> </div>"
Comfortable 2 Bed Apartment 2nd Floor Contractors Families Close To City Centre Occasional Bed Available,Entire apartment • 2 bedrooms • 1 living room • 1 bathroom • 1 kitchen • 80m²2 double beds,"<span class=""bb58e7a787"">Entire apartment</span>",Coventry,,,"<div aria-label=""Scored 8.3 "" class=""b5cd09854e d10a6220b4"">8.3</div>","<div aria-label=""Very good"" class=""b5cd09854e f0d4d6a2f5 e46e88563a"">Very good<!-- --> </div>"
Shirley Fantastic Penthouse En-Suite Families and Contractors Occasional Bed Available,"Entire apartment • 2 bedrooms • 1 living room • 2 bathrooms • 1 kitchen • 60m²3 beds (2 doubles, 1 sofa bed)","<span class=""bb58e7a787"">Entire apartment</span>",Solihull,,,"<div aria-label=""Scored 8.8 "" class=""b5cd09854e d10a6220b4"">8.8</div>","<div aria-label=""Fabulous"" class=""b5cd09854e f0d4d6a2f5 e46e88563a"">Fabulous<!-- --> </div>"
J Quarter Contractors place,"Entire apartment • 2 bedrooms • 1 living room • 2 bathrooms • 1 kitchen • 65m²5 beds (4 singles, 1 double)","<span class=""bb58e7a787"">Entire apartment</span>","Jewellery Quarter, Birmingham",,,"<div aria-label=""Scored 8.3 "" class=""b5cd09854e d10a6220b4"">8.3</div>","<div aria-label=""Very good"" class=""b5cd09854e f0d4d6a2f5 e46e88563a"">Very good<!-- --> </div>"
"West Cottage, Cerne Abbas Lane","Entire holiday home • 2 bedrooms • 2 bathrooms • 1 kitchen • 20m²3 beds (2 singles, 1 large double)","<span class=""bb58e7a787"">Entire holiday home</span>",Dorchester,,,"<div aria-label=""Scored 8.8 "" class=""b5cd09854e d10a6220b4"">8.8</div>","<div aria-label=""Fabulous"" class=""b5cd09854e f0d4d6a2f5 e46e88563a"">Fabulous<!-- --> </div>"
The Garden Flat,"Entire holiday home • 2 bedrooms • 1 living room • 2 bathrooms • 1 kitchen • 100m²3 beds (2 singles, 1 large double)","<span class=""bb58e7a787"">Entire holiday home</span>",Charmouth,,,"<div aria-label=""Scored 9.4 "" class=""b5cd09854e d10a6220b4"">9.4</div>","<div aria-label=""Superb"" class=""b5cd09854e f0d4d6a2f5 e46e88563a"">Superb<!-- --> </div>"
The Annex,Entire holiday home • 2 bedrooms • 1 living room • 2 bathrooms • 1 kitchen2 double beds,"<span class=""bb58e7a787"">Entire holiday home</span>",Tiverton,,,"<div aria-label=""Scored 9.4 "" class=""b5cd09854e d10a6220b4"">9.4</div>","<div aria-label=""Superb"" class=""b5cd09854e f0d4d6a2f5 e46e88563a"">Superb<!-- --> </div>"
Comfortable Apartment in Sheffield with Parking,"Entire apartment • 2 bedrooms • 1 living room • 1 bathroom • 63m²5 beds (2 singles, 1 double, 2 sofa beds)","<span class=""bb58e7a787"">Entire apartment</span>",Neepsend,,,"<div aria-label=""Scored 8.7 "" class=""b5cd09854e d10a6220b4"">8.7</div>","<div aria-label=""Fabulous"" class=""b5cd09854e f0d4d6a2f5 e46e88563a"">Fabulous<!-- --> </div>"
Olympic Village Home - Victory,"Entire holiday home • 2 bedrooms • 1 living room • 2 bathrooms • 1 kitchen • 82m²4 beds (2 singles, 1 double, 1 sofa bed)","<span class=""bb58e7a787"">Entire holiday home</span>",Portland,,,"<div aria-label=""Scored 8.2 "" class=""b5cd09854e d10a6220b4"">8.2</div>","<div aria-label=""Very good"" class=""b5cd09854e f0d4d6a2f5 e46e88563a"">Very good<!-- --> </div>"
The Victorian Barn Self Catering Holiday Complex,"Entire holiday home • 2 bedrooms • 1 living room • 2 bathrooms • 1 kitchen • 65m²3 beds (2 singles, 1 double)","<span class=""bb58e7a787"">Entire holiday home</span>",Woolland,,,"<div aria-label=""Scored 8.1 "" class=""b5cd09854e d10a6220b4"">8.1</div>","<div aria-label=""Very good"" class=""b5cd09854e f0d4d6a2f5 e46e88563a"">Very good<!-- --> </div>"
Perfect Waterside Getaway! Luxury in Plymouth's RWY - Sleeps 6 - Private Parking - Habita Property,"Entire apartment • 2 bedrooms • 1 living room • 2 bathrooms • 1 kitchen • 89m²3 beds (1 sofa bed, 2 large doubles)","<span class=""bb58e7a787"">Entire apartment</span>",Plymouth,,,"<div aria-label=""Scored 8.2 "" class=""b5cd09854e d10a6220b4"">8.2</div>","<div aria-label=""Very good"" class=""b5cd09854e f0d4d6a2f5 e46e88563a"">Very good<!-- --> </div>"
"Macdonald Linden Hall, Golf & Country Club",2 private suites • 2 bedrooms • 2 living rooms • 2 bathrooms2 double beds,"<span class=""bb58e7a787"">2 private suites</span>",Longhorsley,,,"<div aria-label=""Scored 7.3 "" class=""b5cd09854e d10a6220b4"">7.3</div>","<div aria-label=""Good"" class=""b5cd09854e f0d4d6a2f5 e46e88563a"">Good<!-- --> </div>"
Kingston Country Courtyard,"Private suite • 1 bedroom • 1 bathroom2 beds (1 extra-large double, 1 sofa bed)","<span class=""bb58e7a787"">Private suite</span>",Kingston,,,"<div aria-label=""Scored 8.7 "" class=""b5cd09854e d10a6220b4"">8.7</div>","<div aria-label=""Fabulous"" class=""b5cd09854e f0d4d6a2f5 e46e88563a"">Fabulous<!-- --> </div>"
Tranquil Beachfront Deluxe Two Bedroom Apartment,"Entire apartment • 2 bedrooms • 1 living room • 1 bathroom • 1 kitchen4 beds (2 singles, 1 double, 1 sofa bed)","<span class=""bb58e7a787"">Entire apartment</span>",Kent,,,"<div aria-label=""Scored 7.8 "" class=""b5cd09854e d10a6220b4"">7.8</div>","<div aria-label=""Good"" class=""b5cd09854e f0d4d6a2f5 e46e88563a"">Good<!-- --> </div>"
Doubletree By Hilton Glasgow Westerwood Spa & Golf Resort,"2 private suites • 2 bedrooms • 2 living rooms • 2 bathrooms4 beds (2 sofa beds, 2 large doubles)","<span class=""bb58e7a787"">2 private suites</span>",Cumbernauld,,,"<div aria-label=""Scored 7.6 "" class=""b5cd09854e d10a6220b4"">7.6</div>","<div aria-label=""Good"" class=""b5cd09854e f0d4d6a2f5 e46e88563a"">Good<!-- --> </div>"
Bath House Hotel,"Private suite • 17m²2 beds (1 extra-large double, 1 sofa bed)","<span class=""bb58e7a787"">Private suite</span>",Chard,,,"<div aria-label=""Scored 9.1 "" class=""b5cd09854e d10a6220b4"">9.1</div>","<div aria-label=""Superb"" class=""b5cd09854e f0d4d6a2f5 e46e88563a"">Superb<!-- --> </div>"
Host & Stay - Pete's Retreat,"Entire apartment • 2 bedrooms • 1 living room • 1 bathroom • 1 kitchen • 72m²2 beds (1 single, 1 double)","<span class=""bb58e7a787"">Entire apartment</span>",Saltburn-by-the-Sea,,,"<div aria-label=""Scored 8.2 "" class=""b5cd09854e d10a6220b4"">8.2</div>","<div aria-label=""Very good"" class=""b5cd09854e f0d4d6a2f5 e46e88563a"">Very good<!-- --> </div>"
Host & Stay - Carlewell Cottage,Entire holiday home • 2 bedrooms • 1 living room • 2 bathrooms • 1 kitchen • 108m²2 large double beds,"<span class=""bb58e7a787"">Entire holiday home</span>",Middlesmoor,,,"<div aria-label=""Scored 9.3 "" class=""b5cd09854e d10a6220b4"">9.3</div>","<div aria-label=""Superb"" class=""b5cd09854e f0d4d6a2f5 e46e88563a"">Superb<!-- --> </div>"
Dream Apartments Belfast,Entire apartment • 2 bedrooms • 2 bathrooms • 1 kitchen • 60m²2 double beds,"<span class=""bb58e7a787"">Entire apartment</span>","Cathedral Quarter, Belfast",,,"<div aria-label=""Scored 6.9 "" class=""b5cd09854e d10a6220b4"">6.9</div>","<div aria-label=""Review score"" class=""b5cd09854e f0d4d6a2f5 e46e88563a"">Review score<!-- --> </div>"
Howgills Apartments,"Entire apartment • 2 bedrooms • 1 living room • 2 bathrooms • 1 kitchen • 61m²6 beds (4 bunk beds, 1 sofa bed, 1 large double)","<span class=""bb58e7a787"">Entire apartment</span>",Sedbergh,,,"<div aria-label=""Scored 8.6 "" class=""b5cd09854e d10a6220b4"">8.6</div>","<div aria-label=""Fabulous"" class=""b5cd09854e f0d4d6a2f5 e46e88563a"">Fabulous<!-- --> </div>"
Host & Stay - Carlewell Cottage,Entire holiday home • 2 bedrooms • 1 living room • 2 bathrooms • 1 kitchen • 108m²2 large double beds,"<span class=""bb58e7a787"">Entire holiday home</span>",Middlesmoor,,,"<div aria-label=""Scored 9.3 "" class=""b5cd09854e d10a6220b4"">9.3</div>","<div aria-label=""Superb"" class=""b5cd09854e f0d4d6a2f5 e46e88563a"">Superb<!-- --> </div>"
Dream Apartments Belfast,Entire apartment • 2 bedrooms • 2 bathrooms • 1 kitchen • 60m²2 double beds,"<span class=""bb58e7a787"">Entire apartment</span>","Cathedral Quarter, Belfast",,,"<div aria-label=""Scored 6.9 "" class=""b5cd09854e d10a6220b4"">6.9</div>","<div aria-label=""Review score"" class=""b5cd09854e f0d4d6a2f5 e46e88563a"">Review score<!-- --> </div>"
Host & Stay - 39 Marine Parade,"Entire apartment • 2 bedrooms • 1 living room • 1 bathroom • 1 kitchen • 57m²2 beds (1 double, 1 large double)","<span class=""bb58e7a787"">Entire apartment</span>",Saltburn-by-the-Sea,,,"<div aria-label=""Scored 9.1 "" class=""b5cd09854e d10a6220b4"">9.1</div>","<div aria-label=""Superb"" class=""b5cd09854e f0d4d6a2f5 e46e88563a"">Superb<!-- --> </div>"
Howgills Apartments,"Entire apartment • 2 bedrooms • 1 living room • 2 bathrooms • 1 kitchen • 61m²6 beds (4 bunk beds, 1 sofa bed, 1 large double)","<span class=""bb58e7a787"">Entire apartment</span>",Sedbergh,,,"<div aria-label=""Scored 8.6 "" class=""b5cd09854e d10a6220b4"">8.6</div>","<div aria-label=""Fabulous"" class=""b5cd09854e f0d4d6a2f5 e46e88563a"">Fabulous<!-- --> </div>"
Studios At Glenthorne,"Entire studio • 1 bathroom • 1 kitchen • 40m²2 beds (1 double, 1 sofa bed)","<span class=""bb58e7a787"">Entire studio</span>",Merthyr Tydfil,,,"<div aria-label=""Scored 9.2 "" class=""b5cd09854e d10a6220b4"">9.2</div>","<div aria-label=""Superb"" class=""b5cd09854e f0d4d6a2f5 e46e88563a"">Superb<!-- --> </div>"
Croft Mill,"Entire apartment • 2 bedrooms • 1 living room • 1 bathroom • 1 kitchen • 52m²2 beds (1 single, 1 double)","<span class=""bb58e7a787"">Entire apartment</span>",Hebden Bridge,,,"<div aria-label=""Scored 9.5 "" class=""b5cd09854e d10a6220b4"">9.5</div>","<div aria-label=""Exceptional"" class=""b5cd09854e f0d4d6a2f5 e46e88563a"">Exceptional<!-- --> </div>"
